,video_id,video_title,video_date,view_count,like_count,comment_count
168,foLlul8Tl3E,"I Donated $50,000 To Ninja - Fortnite",2018-07-14 21:06:00+00:00,92405379,2068379,62586
169,qrIh-ZHN4-E,World&#39;s Hottest Substance Vs Coldest Substance,2018-06-30 21:09:00+00:00,81773406,1515428,54438
170,mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,2018-06-28 21:12:01+00:00,25162472,694910,44256
171,XE9pUM9MEFA,I Built A Working Car Using Only LEGOS,2018-06-23 21:09:58+00:00,66499342,1520075,102361
172,wbzD04leeLI,Do Water Repellent Shoes Actually Work?,2018-06-22 22:11:00+00:00,102281358,1506771,64698
173,uBC7805Smsg,"I Gave $500,000 To Random People",2018-05-11 22:40:59+00:00,13475128,415763,31875
174,dFr5YQaQQdo,"I Gave $20,000 To People From An Ice Cream Truck",2018-05-02 22:11:00+00:00,14322013,340033,21811
175,d7QmQtNwhcU,"Can 1,000 Rolls Of Duct Tape Stop A Car??",2018-04-30 22:09:00+00:00,25492175,525860,25372
176,NZR4WEjpOQg,Winning A Game Of Fortnite In The Middle Of The Ocean,2018-04-25 22:09:02+00:00,29838996,759956,49334
177,Izmibu7dxcs,Destroying My Friend&#39;s Car And Surprising Him With A New One,2018-04-13 22:21:00+00:00,37260250,605991,36615
178,VwWV4JelEzY,Walking Into Random Stores With 100 Dinosaurs,2018-03-22 22:43:02+00:00,31152202,861256,45883
179,XKFKPQHdWRI,Breaking Glass Using Only Megaphones,2018-03-17 22:22:47+00:00,52112131,1377059,77938
180,sg_XFT4K3N4,"I Dropped $20,000 From A Drone",2018-03-08 00:13:02+00:00,7595125,245250,17777
181,Pe3pGsCeYXg,"Giving 3,000,000 Pennies To My 3,000,000th Subscriber",2018-02-22 23:14:03+00:00,8553067,231455,22770
182,op0N7axawJA,"I Gave $20,000 To Random Homeless People",2018-02-17 00:40:00+00:00,45433985,1275384,75525
183,l_huIWJBhJM,I Bought An Expensive Car Using Only $1 Bills,2018-02-13 23:10:01+00:00,35942275,1047704,36689
184,g2rbhIB-ITM,"I Donated $30,000 To A Random Twitch Streamer (world record)",2018-01-28 00:11:02+00:00,32315434,1049057,56979
185,sirrTXiPFmw,I Bought One Snickers Bar From Every Walmart,2018-01-13 23:15:01+00:00,42317098,1087570,73150
186,BMZP4CtphaU,Life Hacks You Need To Know,2017-12-08 22:49:10+00:00,7147161,198791,11166
187,yUXIx2l8kko,I Bought An Abandoned Storage Unit And Found This..,2017-12-01 23:44:58+00:00,34588986,615211,24035
188,5PCxQSMOl3o,i&#39;m really sorry,2017-10-26 21:30:00+00:00,5124865,186206,10198
189,uotb9ZHnI2g,"Tipping Pizza Delivery Guys $10,000",2017-08-23 21:44:24+00:00,21764984,682891,41559
190,_FX6rml2Yjs,"Saying Logan Paul 100,000 Times",2017-08-19 14:00:58+00:00,21274371,843610,111224
191,Lx9fRu5ehFo,We Are Better Than Dude Perfect,2017-06-24 18:40:12+00:00,24280295,618377,38524
192,ZJwX2jTXWwQ,Watching It&#39;s Everyday Bro For 10 Hours Straight,2017-06-17 21:06:02+00:00,26923361,793889,72135
193,N_GMakKf7G4,"Giving A Random Homeless Man $10,000",2017-06-15 23:10:02+00:00,10057427,501453,34063
194,63gyUQ_JeOE,Toothpaste Life Hacks YOU SHOULD KNOW,2017-06-13 22:30:01+00:00,19599965,505370,15998
195,8D3vI1615K4,Fidget Spinner Vs Face (Legit Had To Get Stitches),2017-05-02 23:30:00+00:00,34796797,1314214,79909
196,AS5CxLCWq-Q,Watching Dance Till You&#39;re Dead For 10 Hours,2017-03-21 22:40:12+00:00,47749027,2345394,1
197,rqUvnLPvbrM,Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac,2017-02-22 00:00:04+00:00,6562526,312330,26027
198,9CVwXBYVqVk,"Counting To 200,000 (Road To A Mil)",2017-02-18 00:00:03+00:00,3474151,138834,19494
199,xWcldHxHFpo,"I Counted To 100,000!",2017-01-09 00:00:39+00:00,25847524,1240552,124380
200,Qy17S3g8ZuY,HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE,2016-12-21 02:00:00+00:00,22758584,584094,38451
201,KzwTYZ2W3ZA,Microwaving A Microwave,2016-12-09 02:45:18+00:00,10983988,422961,42587
202,XW1TsAVdXsw,BEST INTROS ON YOUTUBE #1,2016-06-01 20:42:11+00:00,23964870,714540,29215
203,hC3xW8xeCDs,Motivation For Youtubers #5,2016-05-15 21:00:01+00:00,114750,6292,526
204,9Ax56oRhcZc,Counting To 10000 In One Sitting,2016-02-01 00:27:55+00:00,45321547,619672,58217
205,xjJJ_wDlc1E,"Reacting To Family Accounts (MamaBeast, MrBeast&#39;sLaptop, Etc)",2015-12-22 22:30:23+00:00,897306,19584,2066
206,8a7d8pooQgw,Direct T.V. Commercial Parody!  (Free gameplay trailer),2015-11-08 02:36:45+00:00,183873,7068,298
207,syMozMiJneM,Why I Stopped Playing Video Games - Video Game Commentary,2015-10-25 21:20:24+00:00,37985,1185,174
208,2LIJtcI4dbg,Stupid Things People Search On Google,2015-09-25 22:57:49+00:00,1339982,72793,4351
209,miKQkeq5sbU,Knives In Video Games Cost More Than Real Life????,2015-09-18 23:57:02+00:00,34423,1351,208
210,ttLYXcza4j4,MrBeast’s Outro Song,2015-09-05 20:15:02+00:00,7687059,355218,19318
211,deK-My3Of0o,How Much Do T.V. Commercials Cost?????,2015-08-28 01:40:10+00:00,22347,758,118
212,9zFfp3gzZ88,I Hate Youtubers That Ask For Likes,2015-08-20 19:13:03+00:00,120727,7690,677
213,mM2KwBYa-u4,My Mom Found My Channel!! :0,2015-08-20 01:44:22+00:00,606165,22633,2245
214,4AigP5OY8JE,Time,2015-08-13 10:00:00+00:00,40447,1276,226
215,RMoFUeBVefA,Beast $500ish Youtube PC Great For Making Videos!,2015-08-12 10:00:00+00:00,41478,1003,166
216,ep7S1XnuQLU,"5,000 Hype",2015-08-11 10:00:00+00:00,78371,2143,485
217,lfD7kMZKuNg,Big Channel&#39;s Starting Over???,2015-08-05 10:00:02+00:00,22795,630,107
218,ejlkNGm82w4,SAT And Some Random Stuff,2015-08-04 22:14:13+00:00,18793,523,190
219,gYaxI_allkQ,Am I Ian From Smosh????,2015-08-02 19:09:03+00:00,401033,6997,451
220,ZQZzR0DUujc,"New Optic Gaming Gear Coming To Advanced Warfare, My Thoughts",2015-08-01 16:47:55+00:00,17014,463,133
221,oODUkNQAzXU,5$ To Advertise Your Youtube Channel???,2015-07-31 00:13:08+00:00,92484,2119,244
222,zsADECFHY8w,4k Subscriber&#39;s! First Channel Story!,2015-07-30 01:56:38+00:00,56494,2083,357
